planet,day,x,y,z
Venus,280.8817635270541,4671077.312079279,-108662713.85245296,-1754794.7903748604
Venus,281.6132264529058,6866305.5706835305,-108553402.50268075,-1880025.788412482
Venus,282.3446893787575,9058706.995628811,-108399399.49265394,-2004482.7781707728
Venus,283.0761523046092,11247379.908262642,-108200779.45631185,-2128114.7280656905
Venus,283.8076152304609,13431424.586959608,-107957635.05216263,-2250870.965837842
Venus,284.5390781563126,15609943.617226932,-107670076.90923256,-2372701.1980244596
Venus,285.2705410821643,17782042.240269005,-107338233.56657454,-2493555.5292543913
Venus,286.002004008016,19946828.69990564,-106962251.40638298,-2613384.481360664
Venus,286.7334669338677,22103414.58774497,-106542294.58076172,-2732139.0123055554
Venus,287.4649298597194,24250915.18651056,-106078544.9321941,-2849770.534913027
Venus,288.1963927855711,26388449.811427154,-105571201.90776362,-2966230.935403679
Venus,288.9278557114228,28515142.149564907,-105020482.46717547,-3081472.5917271283
Venus,289.6593186372745,30630120.597048506,-104426620.98463026,-3195448.3916870984
Venus,290.3907815631262,32732518.594039295,-103789869.14459987,-3308111.7508546226
Venus,291.1222444889779,34821474.95739192,-103110495.83155972,-3419416.630264386
Venus,291.8537074148296,36896134.210902356,-102388787.01372768,-3529317.553890125
Venus,292.5851703406813,38955646.91304752,-101625045.62086585,-3637769.6258940636
Venus,293.3166332665331,40999169.98213519,-100819591.41619681,-3744728.547646423
Venus,294.0480961923848,43025867.01877061,-99972760.86249107,-3850150.63451036
Venus,294.7795591182365,45034908.62555759,-99084906.98237891,-3953992.832388322
Venus,295.5110220440882,47025472.72394366,-98156399.21294415,-4056212.734025386
Venus,296.2424849699399,48996744.86812625,-97187623.25465578,-4156768.59506555
Venus,296.9739478957916,50947918.555939354,-96178980.9146922,-4255619.349857074
Venus,297.7054108216433,52878195.53662889,-95130889.94472007,-4352724.627002426
Venus,298.436873747495,54786786.11544674,-94043783.87317944,-4448044.764649489
Venus,299.1683366733467,56672909.454970606,-92918111.8321393,-4541540.825519552
Venus,299.8997995991984,58535793.87307783,-91754338.37877849,-4633174.611668685
Venus,300.6312625250501,60374677.13748862,-90552943.31155336,-4722908.678978451
Venus,301.3627254509018,62188806.75680405,-89314421.48111022,-4810706.351372449
Venus,302.0941883767535,63977440.267956235,-88039282.59600523,-4896531.734754777
Venus,302.8256513026052,65739845.51999839,-86728051.0232897,-4980349.730667012
Venus,303.5571142284569,67475300.95415288,-85381265.58402558,-5062126.049659901
Venus,304.2885771543086,69183095.88004838,-83999479.34378782,-5141827.224376531
Venus,305.0200400801603,70862530.74806222,-82583259.39822276,-5219420.62234309
Venus,305.751503006012,72512917.41770251,-81133186.65371773,-5294874.4584642
Venus,306.4829659318637,74133579.42194791,-79649855.60325205,-5368157.807219037
Venus,307.2144288577154,75723852.2274768,-78133874.09748916,-5439240.614555113
Venus,307.9458917835671,77283083.49071187,-76585863.1111749,-5508093.709476337
Venus,308.6773547094188,78810633.30960508,-75006456.50490955,-5574688.81532196
Venus,309.4088176352705,80305874.47109513,-73396300.7823559,-5638998.560733311
Venus,310.1402805611222,81768192.69416308,-71756054.84295171,-5700996.490304994
Venus,310.8717434869739,83196986.86841623,-70086389.73019336,-5760657.074917407
Venus,311.6032064128256,84591669.28812878,-68387988.37555861,-5817955.721747393
Venus,312.3346693386773,85951665.88167164,-66661545.33813469,-5872868.783954014
Venus,313.066132264529,87276416.4362576,-64907766.54002516,-5925373.570036209
Venus,313.7975951903807,88565374.81793761,-63127368.99759945,-5975448.352859483
Venus,314.5290581162324,89818009.18677416,-61321080.548662305,-6023072.378348419
Venus,315.2605210420841,91033802.20712698,-59489639.57560967,-6068225.873842182
Venus,315.9919839679359,92212251.25298132,-57633794.72464549,-6110890.056110008
Venus,316.7234468937876,93352868.60825162,-55754304.62113235,-6151047.139023789
Venus,317.4549098196393,94455181.66199316,-53851937.58114928,-6188680.34088488
Venus,318.186372745491,95518733.0984533,-51927471.3193351,-6223773.891402228
Venus,318.9178356713427,96543081.08189888,-49981692.65308786,-6256313.038319146
Venus,319.6492985971944,97527799.43615039,-48015397.20320251,-6286284.053685845
Venus,320.3807615230461,98472477.81875898,-46029389.09102272,-6313674.2397750635
Venus,321.1122244488978,99376721.88976035,-44024480.63218623,-6338471.934638074
Venus,321.8436873747495,100240153.47494051,-42001492.02704494,-6360666.51729843
Venus,322.5751503006012,101062410.72354916,-39961251.0478407,-6380248.412580846
Venus,323.3066132264529,101843148.26039667,-37904592.72271936,-6397209.095572638
Venus,324.0380761523046,102582037.33227082,-35832359.01666786,-6411541.0957152145
Venus,324.7695390781563,103278765.94861022,-33745398.509459645,-6423238.000523124
Venus,325.501002004008,103933039.01637243,-31644566.070694074,-6432294.458928257
Venus,326.2324649298597,104544578.46903415,-29530722.53201872,-6438706.184246815
Venus,326.9639278557114,105113123.38966212,-27404734.35662476,-6442469.956766708
Venus,327.6953907815631,105638430.12799464,-25267473.30610268,-6443583.625953151
Venus,328.4268537074148,106120272.4114727,-23119816.104755674,-6442046.112270208
Venus,329.1583166332665,106558441.45016159,-20962644.101460088,-6437857.408616144
Venus,329.8897795591182,106952746.03550445,-18796842.92917068,-6431018.581370516
Venus,330.6212424849699,107303012.63284943,-16623302.162167022,-6421531.77105095
Venus,331.3527054108216,107609085.46769376,-14442914.971136624,-6409400.192577662
Venus,332.0841683366733,107870826.60558765,-12256577.776201483,-6394628.135143843
Venus,332.815631262525,108088116.02564344,-10065189.897981074,-6377220.961690078
Venus,333.5470941883767,108260851.68759502,-7869653.206801889,-6357185.107981095
Venus,334.2785571142284,108388949.59235404,-5670871.770155281,-6334528.081283164
Venus,335.0100200400801,108472343.83601099,-3469751.4985114243,-6309258.4586406015
Venus,335.7414829659318,108510986.65722916,-1267199.789595725,-6281385.884749875
Venus,336.4729458917835,108504848.47798191,935874.8287583143,-6250921.069429958
Venus,337.2044088176352,108453917.93758428,3138563.0570723633,-6217875.78468759
Venus,337.9358717434869,108358201.919971,5339955.183884178,-6182262.861376328
Venus,338.66733466933863,108217725.57417522,7539141.446496782,-6144096.185448186
Venus,339.39879759519033,108032532.32796271,9735212.392691214,-6103390.693797009
Venus,340.1302605210421,107802683.89457874,11927259.243289825,-6060162.369692627
Venus,340.8617234468938,107528260.27256507,14114374.255448299,-6014428.2378050005
Venus,341.5931863727455,107209359.7386084,16295651.086547269,-5966206.358817908
Venus,342.3246492985972,106846098.83338022,18470185.158571042,-5915515.823631365
Venus,343.0561122244489,106438612.34033296,20637074.02283358,-5862376.747152706
