planet,day,x,y
Neptune,9.74958263772955,2254328849.3353634,-3910718751.4859776
Neptune,10.358931552587647,2254574706.9637146,-3910574272.4099627
Neptune,10.968280467445743,2254820555.5749574,-3910429777.693726
Neptune,11.57762938230384,2255066395.1681,-3910285267.3378158
Neptune,12.186978297161936,2255312225.7421446,-3910140741.3427877
Neptune,12.796327212020033,2255558047.296094,-3909996199.709193
Neptune,13.40567612687813,2255803859.8289447,-3909851642.437589
Neptune,14.015025041736227,2256049663.3397083,-3909707069.528525
Neptune,14.624373956594324,2256295457.827382,-3909562480.9825573
Neptune,15.233722871452422,2256541243.2909718,-3909417876.8002367
Neptune,15.843071786310517,2256787019.7294726,-3909273256.9821224
Neptune,16.452420701168613,2257032787.141897,-3909128621.528761
Neptune,17.061769616026712,2257278545.527244,-3908983970.4407105
Neptune,17.671118530884808,2257524294.884513,-3908839303.718525
Neptune,18.280467445742904,2257770035.212711,-3908694621.362756
Neptune,18.889816360601003,2258015766.510843,-3908549923.3739567
Neptune,19.4991652754591,2258261488.777906,-3908405209.7526846
Neptune,20.108514190317194,2258507202.012904,-3908260480.499494
Neptune,20.717863105175294,2258752906.2148447,-3908115735.614935
Neptune,21.32721202003339,2258998601.3827257,-3907970975.099566
Neptune,21.936560934891485,2259244287.5155535,-3907826198.9539375
Neptune,22.545909849749584,2259489964.6123304,-3907681407.178607
Neptune,23.15525876460768,2259735632.672056,-3907536599.774128
Neptune,23.764607679465776,2259981291.693743,-3907391776.741052
Neptune,24.37395659432387,2260226941.676384,-3907246938.0799384
